Timestamps,Real Voltage,Imag. Voltage,Real Current,Imag. Current,Real Power,Apparent Power,Frequency
2009-01-26 09:20:35.000,69398.637111,-189155.045989,70.235689,-235.636086,49446015.762510,3067388.145888,59.99900
2009-01-26 09:20:35.033,69417.502142,-189151.638792,70.257259,-235.803916,49479780.518851,3079643.041919,60.00000
2009-01-26 09:20:35.067,69425.796621,-189144.333625,70.330458,-235.426329,49412304.250535,3042052.773402,60.00000
2009-01-26 09:20:35.100,69439.873620,-189137.781196,70.270685,-235.981263,49512559.927354,3095667.669595,60.00000
2009-01-26 09:20:35.133,69449.300565,-189123.667041,70.653972,-235.717924,49486707.116177,3008106.620575,60.00000
2009-01-26 09:20:35.167,69463.479233,-189117.394477,70.544350,-235.578520,49452251.961408,3022939.955730,60.00000
2009-01-26 09:20:35.200,69503.746457,-189102.599320,70.587244,-235.714427,49480288.875304,3034804.409203,60.00000
2009-01-26 09:20:35.233,69535.818399,-189090.275609,70.471161,-235.809381,49489530.681012,3071787.076885,60.00100
2009-01-26 09:20:35.267,69573.914823,-189079.458372,70.760168,-235.583117,49466990.056089,3011145.557257,60.00100
2009-01-26 09:20:35.300,69592.797195,-189066.115777,70.641689,-235.669617,49473291.774243,3044958.042088,60.00100
2009-01-26 09:20:35.333,69620.399645,-189061.601319,70.774195,-235.870520,49521386.042652,3040717.230579,60.00100
2009-01-26 09:20:35.367,69657.566375,-189053.239432,70.874796,-235.775049,49511002.638182,3024406.270077,60.00100
2009-01-26 09:20:35.400,69701.787408,-189044.081030,71.082127,-236.063445,49580948.269145,3016388.717607,60.00100
2009-01-26 09:20:35.433,69737.741362,-189032.419510,71.062376,-236.005164,49568356.842996,3025374.181550,60.00100
2009-01-26 09:20:35.467,69791.025825,-189027.996906,71.542974,-236.338485,49667648.007366,2970680.235818,60.00100
2009-01-26 09:20:35.500,69816.283839,-189022.080782,70.879036,-236.278501,49610364.791561,3098383.962075,60.00100
2009-01-26 09:20:35.533,69828.650884,-189010.902921,70.838833,-236.554566,49657972.188373,3128974.412987,60.00100
2009-01-26 09:20:35.567,69850.141637,-188999.763613,70.869081,-236.582251,49664204.881380,3131064.120333,60.00100
2009-01-26 09:20:35.600,69881.910544,-188996.548868,71.121450,-236.310705,49632010.541169,3072135.021053,60.00100
2009-01-26 09:20:35.633,69915.753184,-188984.032029,71.157150,-236.042930,49583350.400915,3055554.046860,60.00100
2009-01-26 09:20:35.667,69936.365557,-188980.350324,71.023163,-236.275942,49618612.153421,3102298.359828,60.00100
2009-01-26 09:20:35.700,69956.755779,-188971.203735,71.013163,-236.177033,49598508.713937,3102736.068970,60.00100
2009-01-26 09:20:35.733,69963.224899,-188958.998420,71.495808,-235.878297,49573403.976177,2993030.105449,60.00100
2009-01-26 09:20:35.767,69971.445480,-188956.487677,71.102977,-235.972465,49563706.264882,3075965.606038,60.00000
2009-01-26 09:20:35.800,69994.245866,-188948.789512,71.254678,-235.378853,49461966.816187,3011680.263129,60.00000
2009-01-26 09:20:35.833,70020.400415,-188935.366130,71.149825,-235.604454,49495953.056101,3054399.924877,60.00000
2009-01-26 09:20:35.867,70034.040454,-188927.644266,71.529226,-235.677347,49535446.591995,2991588.755797,60.00000
2009-01-26 09:20:35.900,70028.671905,-188928.034532,71.752395,-235.732951,49561287.961275,2952026.572321,60.00000
2009-01-26 09:20:35.933,70031.885459,-188921.830834,71.425842,-235.647467,49521037.339431,3008935.551616,60.00000
2009-01-26 09:20:35.967,70034.509602,-188914.139092,71.808223,-235.333108,49486805.265927,2915850.164297,60.00000
2009-01-26 09:20:36.000,70053.362500,-188910.668445,71.918658,-235.127888,49456310.271263,2885297.406728,60.00000
2009-01-26 09:20:36.033,70075.168227,-188905.247308,71.537545,-234.969529,49399982.597602,2951711.618101,60.00000
2009-01-26 09:20:36.067,70059.216683,-188901.778135,71.673266,-235.221100,49455056.987346,2940198.686245,60.00000
2009-01-26 09:20:36.100,70041.685533,-188908.812362,72.304966,-235.536540,49559289.691105,2838330.891174,60.00000
2009-01-26 09:20:36.133,70041.112868,-188912.224248,71.801402,-235.634398,49543268.331484,2939932.848418,60.00000
2009-01-26 09:20:36.167,70043.893953,-188919.725286,71.426360,-235.497255,49493057.032221,3001296.499756,60.00000
2009-01-26 09:20:36.200,70040.695590,-188920.911081,71.760521,-235.255762,49470889.666113,2920414.239831,60.00000
2009-01-26 09:20:36.233,70029.193239,-188929.441021,71.379296,-235.602326,49510850.287326,3013390.418096,60.00000
2009-01-26 09:20:36.267,70019.879154,-188933.959614,71.662671,-235.028313,49422641.382874,2917141.858928,60.00000
2009-01-26 09:20:36.300,70003.665071,-188944.553492,71.572593,-235.907051,49583696.266146,2991106.656492,60.00000
2009-01-26 09:20:36.333,69977.510962,-188948.056512,71.248786,-235.837703,49546888.380387,3041015.825403,60.00000
2009-01-26 09:20:36.367,69965.658243,-188955.644836,71.636129,-235.336527,49480234.171671,2929423.999711,60.00000
2009-01-26 09:20:36.400,69961.037413,-188953.090383,71.122438,-235.441304,49463161.609915,3032913.386871,60.00000
2009-01-26 09:20:36.433,69932.033198,-188958.815299,71.166354,-235.557572,49487487.608109,3025509.991311,60.00000
2009-01-26 09:20:36.467,69911.735257,-188963.340666,71.187906,-235.534763,49484305.684196,3014739.511202,60.00000
2009-01-26 09:20:36.500,69885.560742,-188971.743094,71.497963,-236.124550,49617542.946573,2990601.862280,60.00000
