Timestamps,Real Voltage,Imag. Voltage,Real Current,Imag. Current,Real Power,Apparent Power,Frequency
2009-01-26 09:20:35.000,31412.995086,-73702.086044,-27.073361,-20.752883,679075.396245,2647273.376752,59.99900
2009-01-26 09:20:35.033,31452.472309,-73695.446405,-27.227329,-18.636032,517023.872999,2592679.421358,60.00000
2009-01-26 09:20:35.067,31466.118202,-73692.611193,-26.919905,-18.124364,488566.834824,2554101.449292,60.00100
2009-01-26 09:20:35.100,31461.063755,-73689.463071,-26.640033,-19.553520,602764.625985,2578264.269547,60.00100
2009-01-26 09:20:35.133,31440.559503,-73677.969765,-26.215112,-20.734520,703459.520906,2583381.140658,60.00100
2009-01-26 09:20:35.167,31435.351835,-73672.711746,-26.118596,-20.718346,705329.500743,2575516.276458,60.00000
2009-01-26 09:20:35.200,31467.457783,-73657.514432,-26.954625,-19.971012,622821.578175,2613847.692486,60.00000
2009-01-26 09:20:35.233,31494.609114,-73648.084312,-27.018507,-19.422562,579497.155608,2601567.248166,60.00000
2009-01-26 09:20:35.267,31508.806295,-73650.027664,-26.700034,-18.965400,555516.039251,2564035.365899,60.00100
2009-01-26 09:20:35.300,31513.713598,-73645.894031,-26.481805,-19.743603,619495.267670,2572470.447068,60.00100
2009-01-26 09:20:35.333,31518.393044,-73642.934271,-26.363101,-20.076394,647561.985415,2574231.786165,60.00100
2009-01-26 09:20:35.367,31531.985312,-73639.976410,-26.381089,-19.611907,612372.263764,2561105.148399,60.00100
2009-01-26 09:20:35.400,31550.144684,-73633.829974,-26.849621,-19.016994,553184.687212,2577029.307064,60.00100
2009-01-26 09:20:35.433,31558.862313,-73628.190114,-27.118719,-19.918421,610721.338581,2625304.878011,60.00100
2009-01-26 09:20:35.467,31561.055386,-73629.828629,-26.350150,-20.447744,673925.322724,2585509.390186,60.00100
2009-01-26 09:20:35.500,31557.302438,-73633.210590,-26.244340,-21.265219,737625.801148,2603527.930205,60.00100
2009-01-26 09:20:35.533,31568.752295,-73635.646643,-26.478725,-20.086867,643209.134944,2583895.369931,60.00000
2009-01-26 09:20:35.567,31605.470356,-73631.179290,-26.671930,-18.847135,544757.843744,2559558.252728,60.00000
2009-01-26 09:20:35.600,31630.158040,-73624.658876,-27.084526,-18.020615,470073.818881,2564083.875732,60.00100
2009-01-26 09:20:35.633,31620.781266,-73620.121411,-26.756747,-19.769698,609378.297660,2594968.280184,60.00100
2009-01-26 09:20:35.667,31606.057489,-73620.458330,-26.488284,-21.703270,760614.501844,2636034.402823,60.00100
2009-01-26 09:20:35.700,31597.615113,-73623.266005,-25.824798,-22.490177,839798.268083,2611941.913953,60.00000
2009-01-26 09:20:35.733,31614.050135,-73626.951768,-26.249596,-21.130876,725945.926215,2600710.308611,60.00000
2009-01-26 09:20:35.767,31656.931445,-73622.947725,-26.969980,-17.994835,471045.966571,2555270.636192,60.00000
2009-01-26 09:20:35.800,31697.566333,-73611.994612,-27.435669,-16.705687,360095.008269,2549123.927249,60.00100
2009-01-26 09:20:35.833,31689.168239,-73602.817704,-27.053639,-18.768476,524105.434814,2585981.428958,60.00100
2009-01-26 09:20:35.867,31639.392631,-73609.806386,-26.335432,-21.687803,763197.872474,2624734.983729,60.00100
2009-01-26 09:20:35.900,31610.231427,-73614.585185,-25.735595,-23.561348,920950.730456,2639294.788272,60.00000
2009-01-26 09:20:35.933,31628.926391,-73614.848362,-26.169938,-22.209666,807234.197532,2628963.891965,60.00000
2009-01-26 09:20:35.967,31682.519094,-73613.300951,-27.176576,-18.215121,479852.773746,2577658.420695,60.00000
2009-01-26 09:20:36.000,31730.746728,-73606.137686,-27.649937,-15.625240,272760.391123,2531005.567090,60.00100
2009-01-26 09:20:36.033,31721.461485,-73601.842243,-27.269879,-17.510379,423755.744212,2562568.136431,60.00100
2009-01-26 09:20:36.067,31653.153228,-73605.523024,-26.139792,-21.679256,768306.141854,2610249.892492,60.00100
2009-01-26 09:20:36.100,31596.914125,-73614.719678,-25.388634,-24.732944,1018506.247868,2650461.862918,60.00000
2009-01-26 09:20:36.133,31611.386936,-73620.749360,-25.736480,-23.505743,916944.599772,2637788.081412,59.99900
2009-01-26 09:20:36.167,31674.336555,-73618.455053,-26.719304,-19.028456,554529.267568,2569747.615948,59.99900
2009-01-26 09:20:36.200,31732.381676,-73609.930291,-27.883421,-15.051864,223159.331334,2530128.181723,60.00000
2009-01-26 09:20:36.233,31722.624734,-73608.005085,-27.307308,-15.965095,308899.323692,2516491.147746,60.00100
2009-01-26 09:20:36.267,31654.513382,-73612.155154,-26.209870,-20.486015,678359.040663,2577839.824500,60.00100
2009-01-26 09:20:36.300,31580.968355,-73619.113597,-25.518912,-25.029957,1036771.290906,2669149.947119,60.00000
2009-01-26 09:20:36.333,31568.440001,-73626.260236,-25.809154,-24.555574,993180.328038,2675412.624368,59.99800
2009-01-26 09:20:36.367,31623.849453,-73629.001316,-26.326324,-20.313774,663143.214367,2580780.688382,59.99800
2009-01-26 09:20:36.400,31695.770519,-73621.619390,-28.034933,-15.012360,216645.498603,2539805.461257,60.00000
2009-01-26 09:20:36.433,31698.000889,-73616.434749,-27.664020,-15.155839,238824.715295,2516936.295670,60.00100
2009-01-26 09:20:36.467,31631.469568,-73619.067038,-26.518147,-19.417520,590691.730408,2566445.907457,60.00100
2009-01-26 09:20:36.500,31552.348158,-73625.128708,-25.421501,-24.625170,1010923.268520,2648643.213572,60.00000
